dataset,source_organisation,source_url,publication_date,date_downloaded,licence,format,extent,feature_count,local_file,notes
NFM Heat Maps (Hotspots),Environment Agency,https://environment.data.gov.uk/dataset/ecc7d246-ae51-46ac-862f-11da22b72366,,2026-08-18,Open Government Licence v3.0,GeoJSON (OGC API Features bbox query),Ribble Management Catchment envelope,75,data/raw/nfm_hotspots_ribble.geojson,Pulled via EA OGC Features API rather than full national file
Risk of Flooding from Rivers and Sea (RoFRS),Environment Agency,https://environment.data.gov.uk/dataset/96ab4342-82c1-4095-87f1-0082e8d84ef1,,2026-08-19,Open Government Licence v3.0,ESRI Shapefile -> merged GeoPackage (12 manual AOI exports via EA Data Services Platform - no bbox API existed),12 manually-drawn AOI polygons merged (98.8% of catchment by area),"~4,300+ features across 6 layers (4band overall + 5 depth bands: 0.2/0.3/0.6/0.9/1.2m)",data/raw/rofrs_combined/*.gpkg,No direct vector/bbox download API exists for this dataset (WMS raster only for programmatic access). The portal's AOI export tool also caps request size, rejecting single polygons covering large areas. Acquired via 12 separate manual AOI exports drawn by the user, clipped and merged with ogr2ogr into one GeoPackage per depth band. Final coverage verified against the catchment boundary: 98.8% by area, 76% of NFM hotspot candidates (57/75) fall within covered area. Remaining ~1.2% is scattered thin slivers along the catchment's irregular edge (box-shaped exports vs non-rectangular boundary) - accepted as a residual, immaterial gap.
Recorded Flood Outlines,Environment Agency,https://environment.data.gov.uk/dataset/8c75e700-d465-11e4-8b5b-f0def148f590,,2026-08-18,Open Government Licence v3.0,GeoJSON (OGC API Features bbox query),Ribble Management Catchment envelope,1137,data/raw/recorded_flood_outlines_ribble.geojson,Historic flood records from 1946 onwards clipped to catchment envelope
Ribble Management Catchment boundary,Environment Agency (Catchment Data Explorer),https://environment.data.gov.uk/catchment-planning/ManagementCatchment/3070,,2026-08-18,Open Government Licence v3.0,GeoJSON,Whole management catchment,159,data/raw/ribble_management_catchment.geojson,Defines the study area envelope used for all other bbox queries
Priority Habitats Inventory,Natural England,https://www.data.gov.uk/dataset/4b6ddab7-6c0f-4407-946e-d6499f19fcde/priority-habitats-inventory-england,,2026-08-18,Open Government Licence v3.0,GeoJSON (OGC API Features bbox query),Ribble Management Catchment envelope,29712,data/raw/priority_habitats_inventory_ribble.geojson,Large file (~177MB) - convert to GeoPackage/simplify during processing
Habitat Networks (Combined Habitats),Natural England,https://www.data.gov.uk/dataset/0ef2ed26-2f04-4e0f-9493-ffbdbfaeb159/habitat-networks-combined-habitats-england,,2026-08-18,Open Government Licence v3.0,GeoJSON (OGC API Features bbox query),Ribble Management Catchment envelope,28137,data/raw/habitat_networks_ribble.geojson,~34MB - convert to GeoPackage during processing
Priority Habitat Creation and Restoration,Environment Agency,https://www.data.gov.uk/dataset/e0165747-8368-4ff7-a644-df9aeb27bb0b/priority-habitat-creation-and-restoration,2026-05-01,2026-08-18,Open Government Licence v3.0,GeoPackage (full national file - no bbox API found),National (England),,data/raw/priority_habitat_creation_and_restoration_national.gpkg.zip,Will be clipped to Ribble catchment locally during processing
OS Open Rivers,Ordnance Survey,https://www.data.gov.uk/dataset/dc29160b-b163-4c6e-8817-f313229bcc23/os-open-rivers1,2026-04,2026-08-20,Open Government Licence v3.0,GeoPackage (full GB national file via OS Data Hub downloads API - no bbox/tile option existed),GB-wide (52.5MB),1469,data/raw/os_open_data/os_open_rivers_gb.gpkg.zip -> staged as os_open_rivers,Added in Week 2/3 to fill a Week 1 gap: the brief's original data table included "Catchments, rivers and terrain" which was never acquired. Clipped to catchment locally. watercourse_link layer only (hydro_node points not used).
OS Open Roads,Ordnance Survey,https://www.data.gov.uk/dataset/65bf62c8-eae0-4475-9c16-a2e81afcbdb0/os-open-roads1,2026-04,2026-08-20,Open Government Licence v3.0,GeoPackage (full GB national file via OS Data Hub downloads API - no bbox/tile option existed),GB-wide (1.02GB),,data/raw/os_open_data/os_open_roads_gb.gpkg.zip -> staged as os_open_roads,Added in Week 2/3 to fill a Week 1 gap: the brief's original data table included "Land cover, roads and settlements" which was never acquired. Only a GB-wide download exists (no smaller regional split for GeoPackage) so the full 1GB file was downloaded and clipped locally. road_link layer only.
OS Open Built Up Areas,Ordnance Survey,https://www.data.gov.uk/dataset/7735dc84-2afd-46c2-be4e-f7cd1347168e/os-open-built-up-areas,2026-04,2026-08-20,Open Government Licence v3.0,GeoPackage (full GB national file via OS Data Hub downloads API - no bbox/tile option existed),GB-wide (43.6MB),75,data/raw/os_open_data/os_open_built_up_areas_gb.gpkg.zip -> staged as os_open_built_up_areas,Added in Week 2/3 to fill the same Week 1 "settlements" gap - used as the downstream-exposure/community proxy. Main os_open_built_up_areas layer only (extent variants not used).
